SKU,Tên sản phẩm,Nhà cung cấp,Thương hiệu,Giá gốc,Đơn giá,Số lượng,Trạng thái
12391455,Thùng 48 HỘP Sữa Nestlé Gấu Ít Đường 12(4x180ml),Nestle,Nestle Milk UHT,334000,336000,9,Còn hàng
12429288,Sữa Bột Nestlé NAN Optipro 2 (900g) - HMO cho trẻ từ 6-12 tháng tuổi,Nestle,NAN,438000,440000,5,Còn hàng
